,strain,id,flavors,positive,medical,Type,Rating,Flavor
911,Maui Pineapple Chunk,1341,"Pineapple, Tropical, Earthy","Euphoric, Creative, Talkative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.7,"Tropical,Flowery,Menthol"
912,Maui Wowie,1342,"Tropical, Pineapple, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Tropical,Pineapple,Citrus"
913,Mazar I Sharif,1343,"Sweet, Spicy/Herbal, Citrus","Relaxed, Euphoric, Happy, Creative, Sleepy","Insomnia, Pain, Lack of Appetite, Inflammation, Muscle Spasms",indica,4.4,"Earthy,Spicy/Herbal,Pine"
914,Mazar Kush,1344,"Pungent, Earthy, Nutty","Relaxed, Happy, Sleepy, Giggly","Insomnia, Pain, Stress, Nausea, Inflammation",indica,4.3,"Pungent,Earthy,Spicy/Herbal"
915,Mean Misty,1345,"Flowery, Sweet","Relaxed, Euphoric, Energetic, Talkative, Uplifted","Depression, Insomnia, Stress",hybrid,4.2,"Flowery,Sweet"
916,Medibud,1347,"Sweet, Berry, Flowery","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headache, Inflammation",hybrid,4.5,"Sweet,Earthy,Skunk"
917,Medicine Man,1348,"Woody, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative, Talkative","Pain, Stress, Nausea, Headache, Headaches, Inflammation",hybrid,4.4,"Berry,Woody,Earthy"
918,Medicine Woman,1349,"Earthy, Citrus, Diesel","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Cramps, Fatigue",hybrid,4.6,"Earthy,Citrus,Diesel"
919,Medusa,1350,"Earthy, Butter, Nutty","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.1,"Earthy,Blueberry,Pungent"
920,Mega Jackpot,1351,"Berry, Grape, Strawberry","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.0,"Berry,Strawberry,Grape"
921,Megalodon,1352,"Skunk, Earthy, Spicy/Herbal","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Fatigue",sativa,4.4,"Skunk,Pungent,Earthy"
922,Melon Gum,1354,"Sweet, Lavender, Flowery","Relaxed, Happy, Creative, Uplifted, Sleepy","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.3,"Sweet,Lavender,Flowery"
923,Memory Loss,1355,"Earthy, Woody, Citrus","Hungry, Euphoric, Talkative, Uplifted","Depression, Pain, Stress, Fatigue, Muscle Spasms",sativa,4.6,"Earthy,Sweet,Woody"
924,Mendo Breath,1356,"Earthy, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.8,"Earthy,Pungent,Sweet"
925,Mendocino Purps,1357,"Grape, Berry, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.3,"Earthy,Grape,Flowery"
926,Mexican,1360,"Earthy, Woody, Diesel","Uplifted, Focused","Depression, Stress, Lack of Appetite, Headache, Fatigue, Eye Pressure",sativa,3.4,"Earthy,Woody,Diesel"
927,Mexican Sativa,1361,"Woody, Pine, Pungent","Hungry, Euphoric, Happy, Energetic, Talkative","Depression, Pain, Stress, Headache, Headaches, Eye Pressure",sativa,3.3,"Woody,Earthy,Nutty"
928,Mickey Kush,1363,"Earthy, Sweet, Lemon","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Spasticity, Muscle Spasms",sativa,4.6,"Earthy,Sweet,Tree,Fruit"
929,Middlefork,1364,"Lemon, Earthy, Blueberry","Relaxed, Euphoric, Creative, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.6,"Earthy,Blueberry,Tar"
930,Midnight,1366,"Earthy, Pine, Lavender","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Inflammation",hybrid,4.4,"Earthy,Pungent,Lavender"
931,Milky Way,1367,"Sweet, Lavender, Flowery","Euphoric, Happy","Depression, Pain, Stress, Nausea, Headache, Headaches",indica,4.7,"Sweet,Menthol,Pepper"
932,Millennium,1368,"Blueberry, Earthy, Berry","Hungry, Happy, Giggly","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.4,"Blueberry,Earthy,Diesel"
933,Mint Chocolate Chip,1369,"Earthy, Minty","Relaxed, Euphoric, Happy","Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.6,"Minty,Earthy,Mint"
934,Mission Kush,1370,Pine,"Euphoric, Happy, Creative, Energetic",Muscle Spasms,hybrid,4.0,Pine
935,Misty Kush,1371,"Sweet, Mango, Lemon","Relaxed, Euphoric, Happy, Talkative, Uplifted","Insomnia, Pain, Headache, Headaches, Eye Pressure, Muscle Spasms",indica,4.4,"Sweet,Mango,Lemon"
936,Misty Morning,1372,"Pine, Spicy/Herbal","Relaxed, Euphoric, Sleepy","Depression, Stress, Headaches, Inflammation",hybrid,4.0,"Spicy/Herbal,Pine"
937,Mob Boss,1373,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.5,"Earthy,Pine,Citrus"
938,Moby Dick,1374,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.3,"Sweet,Citrus,Earthy"
939,Money Maker,1377,"Earthy, Pungent, Berry","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.6,"Earthy,Berry,Skunk"
940,Monkey Paw,1378,"Earthy, Spicy/Herbal, Skunk","Relaxed, Happy, Creative, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Grape,Berry,Spicy/Herbal"
941,Monolith,1379,"Pungent, Earthy, Pine","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,5.0,"Pungent,Earthy,Pine"
942,Monster Cookies,1380,"Earthy, Sweet, Grape","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.6,"Earthy,Grape,Pine"
943,Montana Silvertip,1382,"Earthy, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Earthy,Spicy/Herbal,Sweet"
944,Moon Cookies,1383,"Earthy, Blueberry, Citrus","Relaxed, Euphoric, Happy, Creative, Sleepy","Depression, Insomnia, Eye Pressure, Inflammation, Muscle Spasms",hybrid,4.8,"Spicy/Herbal,Minty,Flowery"
945,Moonshine Haze,1385,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Headache, Fatigue, Muscle Spasms",sativa,4.3,"Earthy,Citrus,Pine"
946,Moonwalker Kush,1386,"Earthy, Pine, Minty","Relaxed, Sleepy, Focused, Aroused","Depression, Insomnia, Stress, Lack of Appetite, Nausea",hybrid,4.9,"Earthy,Pine,Minty"
947,Morning Star,1388,"Orange, Berry, Blueberry","Euphoric, Uplifted","Depression, Insomnia, Stress, Nausea, Headache, Fatigue",hybrid,4.3,"Orange,Berry,Blueberry"
948,Mossad,1389,"Earthy, Lemon, Sweet","Euphoric, Focused",Headache,indica,3.8,"Sweet,Lemon,Earthy"
949,Motavation,1391,"Pungent, Flowery, Sweet","Relaxed, Creative, Sleepy, Giggly","Pain, Fatigue, Headaches, Spasticity, Muscle Spasms",indica,3.9,"Pungent,Sweet,Flowery"
950,Mother Tongue,1392,"Berry, Tropical, Sweet","Euphoric, Happy, Creative, Energetic, Focused","Insomnia, Pain, Stress, Headaches, Inflammation",sativa,4.4,"Earthy,Lemon,Sweet"
951,Mountain Girl,1397,"Earthy, Skunk, Sweet","Relaxed, Happy, Creative, Talkative, Uplifted","Depression, Stress",hybrid,4.2,"Earthy,Spicy/Herbal,Sage"
952,Narnia,1411,"Sweet, Earthy, Citrus","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Muscle Spasms",sativa,4.8,"Sweet,Citrus,Spicy/Herbal"
953,Nebula,1412,"Sweet, Earthy, Honey","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.4,"Earthy,Honey,Pungent"
954,Negra 44,1414,"Sweet, Earthy, Citrus","Relaxed, Hungry, Euphoric, Creative, Energetic","Insomnia, Pain, Lack of Appetite, Headaches, Muscle Spasms",indica,5.0,"Sweet,Earthy,Citrus"
955,Nepalese,1415,"Earthy, Grapefruit, Sweet","Relaxed, Hungry, Happy, Focused, Giggly","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.4,"Earthy,Grapefruit,Sweet"
956,Neptune Kush,1417,"Citrus, Pine, Honey","Relaxed, Hungry, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Citrus,Pine,Honey"
957,Nice Cherry,1422,"Pungent, Berry, Pine","Relaxed, Hungry, Happy, Talkative, Uplifted","Depression, Insomnia, Stress, Lack of Appetite, Headaches",indica,4.6,"Sweet,Berry,Pungent"
958,Nicole Kush,1423,"Pungent, Earthy, Pine","Relaxed, Euphoric, Sleepy, Giggly","Depression, Insomnia, Cramps, Fatigue, Headaches",indica,4.9,"Pungent,Sweet,Woody"
959,Night Nurse,1424,"Earthy, Sweet, Diesel","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Headaches, Muscle Spasms",indica,4.6,"Sweet,Earthy,Diesel"
960,Night Train,1426,"Pungent, Chemical, Earthy","Relaxed, Euphoric, Uplifted, Tingly, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,3.9,"Pepper,Pungent,Chemical"
961,Nightmare Cookies,1428,"Sweet, Pine, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.7,"Sweet,Pine,Woody"
962,Nina Limone,1429,"Lemon, Sweet, Citrus","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress",sativa,5.0,"Lemon,Sweet,Citrus"
963,Ninja Fruit,1430,"Grape, Grapefruit, Sweet","Euphoric, Happy, Talkative, Uplifted, Aroused","Depression, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.5,"Grape,Citrus,Sweet"
964,Nordle,1431,"Sweet, Citrus, Pine","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.4,"Sweet,Citrus,Pungent"
966,North Indian,1434,"Earthy, Tropical, Woody","Hungry, Happy, Creative, Uplifted, Aroused","Stress, Nausea, Eye Pressure, Muscle Spasms",indica,4.0,"Tropical,Earthy,Woody"
967,Northern Lights,1437,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.4,"Earthy,Sweet,Pine"
968,Northern Skunk,1440,"Skunk, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.5,"Skunk,Earthy,Pungent"
969,Northern Wreck,1441,"Earthy, Sweet, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Sleepy","Depression, Pain, Stress, Nausea, Fatigue",indica,4.8,"Earthy,Woody,Citrus"
970,Nova,1442,"Berry, Earthy, Pine","Relaxed, Euphoric, Creative","Depression, Inflammation",indica,4.9,"Berry,Earthy,Woody"
971,Nuken,1444,"Earthy, Sweet, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.5,"Sweet,Earthy,Woody"
972,Nurse Jackie,1445,"Lemon, Pine, Chemical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.4,"Lemon,Pine,Menthol"
973,Obama Kush,1467,"Sweet, Earthy, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.4,"Earthy,Sweet,Pungent"
974,Odyssey,1468,"Sweet, Skunk, Flowery","Relaxed, Happy, Uplifted, Tingly, Focused","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.3,"Sweet,Skunk,Flowery"
975,Ogre,1469,"Earthy, Skunk, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.1,"Skunk,Pungent,Earthy"
976,Ogre Berry,1470,"Berry, Earthy, Blueberry","Relaxed, Happy, Uplifted, Focused, Giggly","Depression, Pain, Stress, Cramps, Fatigue",indica,4.3,"Blueberry,Berry,Earthy"
977,Old Toby,1474,"Lime, Pine, Chemical","Euphoric, Happy, Creative, Uplifted, Tingly","Pain, Stress, Cramps, Fatigue, Headaches",hybrid,4.2,"Lime,Pine,Spicy/Herbal"
978,Omega,1475,"Menthol, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Tingly","Depression, Pain, Stress, Nausea, Inflammation",hybrid,4.8,"Menthol,Spicy/Herbal,Sweet"
979,Omega Dawg,1476,"Pine, Diesel, Earthy","Relaxed, Hungry, Tingly, Sleepy","Depression, Pain, Stress, Headaches, Muscle Spasms",hybrid,4.4,"Diesel,Sweet,Earthy"
980,Opium,1479,"Earthy, Nutty, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Cramps, Eye Pressure",hybrid,4.8,"Earthy,Citrus,Flowery"
981,Or,1480,"Lemon, Chemical, Earthy","Relaxed, Hungry, Creative, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.4,"Earthy,Flowery,Woody"
982,Orange Afghani,1481,"Flowery, Orange, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Cramps, Lack of Appetite",indica,4.5,"Orange,Citrus,Earthy"
983,Orange Blossom,1482,"Orange, Flowery, Sweet","Happy, Creative, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.6,"Orange,Citrus,Pine"
984,Orange Bud,1483,"Orange, Pungent, Citrus","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Headaches",hybrid,4.3,"Orange,Citrus,Pungent"
985,Orange Cookies,1484,"Orange, Citrus, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",hybrid,4.6,"Citrus,Orange,Sweet"
986,Orange Creamsicle,1485,"Orange, Sweet, Citrus","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.8,"Citrus,Orange,Sweet"
987,Orange Crush,1486,"Orange, Citrus, Sweet","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.2,"Citrus,Orange,Sweet"
988,Orange Diesel,1487,"Earthy, Citrus, Orange","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.4,"Citrus,Orange,Diesel"
989,Orange Dream,1488,"Orange, Citrus, Vanilla","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Headache, Headaches, Inflammation",hybrid,4.1,"Tropical,Orange,Citrus"
990,Orange Durban,1489,"Orange, Citrus, Sweet","Happy, Creative, Energetic, Uplifted, Focused","Depression, Stress, Headaches, Eye Pressure, Spasticity",sativa,4.8,"Orange,Sweet,Citrus"
991,Orange Haze,1490,"Orange, Citrus, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.4,"Orange,Sweet,Citrus"
992,Orange Hill Special,1491,"Citrus, Flowery, Orange","Relaxed, Hungry, Happy, Talkative, Sleepy","Depression, Insomnia, Stress, Lack of Appetite",hybrid,4.9,"Orange,Citrus,Sweet"
993,Orange Juice,1492,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",hybrid,4.4,"Citrus,Orange,Sweet"
994,Orange Kush,1493,"Orange, Citrus, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.1,"Orange,Citrus,Sweet"
995,Orange Romulan,1494,"Citrus, Earthy, Orange","Relaxed, Euphoric","Pain, Cramps, Headaches, Inflammation, Muscle Spasms",indica,4.0,"Citrus,Orange,Lime"
996,Orange Skunk,1495,"Orange, Earthy, Skunk","Relaxed, Happy, Sleepy","Depression, Pain, Stress, Nausea, Headache, Inflammation",hybrid,4.1,"Citrus,Orange,Earthy"
997,Orange Turbo,1496,"Orange, Citrus, Sweet","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue",hybrid,4.3,"Citrus,Orange,Sweet"
998,Orange Velvet,1497,"Orange, Citrus, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.3,"Orange,Citrus,Sweet"
999,Orange Wreck,1498,"Orange, Citrus, Pine","Euphoric, Creative, Energetic","Depression, Stress, Fatigue, Inflammation",sativa,3.0,"Orange,Citrus,Pine"
1000,Oregon Diesel,1499,"Diesel, Earthy, Woody","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Headaches",indica,4.5,"Diesel,Earthy,Pine"
1001,Oregon Pineapple,1500,"Pineapple, Sweet, Cheese","Relaxed, Happy, Creative, Uplifted, Giggly","Depression, Stress, Nausea, Fatigue, Muscle Spasms",hybrid,4.2,"Pineapple,Sweet,Cheese"
1002,Oregon Pinot Noir,1501,"Grape, Earthy, Minty","Relaxed, Hungry, Happy, Creative, Energetic","Insomnia, Pain, Stress, Lack of Appetite, Nausea",sativa,4.6,"Grape,Sweet,Diesel"
1003,Organic Diesel,1502,"Diesel, Pungent, Tobacco","Happy, Energetic, Talkative, Uplifted, Focused","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Diesel,Pungent,Tobacco"
1004,Ortega,1503,"Spicy/Herbal, Pepper, Sweet","Relaxed, Euphoric, Sleepy","Depression, Pain, Stress, Cramps, Nausea",indica,4.8,"Spicy/Herbal,Pepper,Earthy"
1005,Outer Space,1505,"Sweet, Citrus, Earthy","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.7,"Sweet,Citrus,Berry"
1006,Outlaw,1506,"Earthy, Spicy/Herbal, Woody","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Cramps, Fatigue",sativa,4.5,"Earthy,Woody,Spicy/Herbal"
1007,Pacific Blue,1510,"Earthy, Flowery, Blueberry","Relaxed, Happy, Tingly, Sleepy","Depression, Insomnia, Stress, Nausea, Eye Pressure",indica,5.0,"Flowery,Earthy,Sweet"
1008,Pagoda,1511,"Earthy, Mango, Pineapple","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Pain, Fatigue, Inflammation",sativa,5.0,"Citrus,Grapefruit,Tropical"
1009,Pakistan Valley Kush,1512,"Pine, Sweet, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,5.0,"Pine,Sweet,Earthy"
1010,Pakistani Chitral Kush,1513,"Earthy, Sweet, Berry","Relaxed, Hungry, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",indica,4.7,"Earthy,Sweet,Berry"
1011,Panama Punch,1515,"Earthy, Flowery, Lemon","Relaxed, Euphoric, Happy, Energetic, Uplifted","Insomnia, Stress, Fatigue, Headaches, Eye Pressure",sativa,4.9,"Orange,Tropical,Berry"
1012,Panama Red,1516,"Earthy, Sweet, Tropical","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.3,"Earthy,Spicy/Herbal,Skunk"
1013,Papaya,1520,"Earthy, Citrus, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Tropical,Sweet,Tree,Fruit"
1014,Pearl Scout Cookies,1525,"Sweet, Earthy, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.7,"Sweet,Citrus,Lemon"
1015,Pennywise,1527,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.5,"Earthy,Woody,Sweet"
1016,Peppermint Cookies,1528,"Sweet, Mint, Pine","Relaxed, Euphoric, Happy, Focused, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Sweet,Mint,Pine"
1017,Permafrost,1529,"Earthy, Pine, Pungent","Happy, Creative, Energetic, Uplifted, Focused","Depression, Stress, Headache, Fatigue, Headaches, Inflammation",hybrid,4.2,"Woody,Earthy,Pine"
1018,Petrolia Headstash,1531,"Berry, Citrus, Earthy","Relaxed, Happy, Creative, Uplifted, Aroused","Depression, Stress, Cramps, Lack of Appetite, Inflammation",indica,4.6,"Pungent,Violet,Woody"
1019,Peyote Cookies,1532,"Earthy, Citrus, Nutty","Hungry, Creative","Insomnia, Pain, Stress, Headaches",indica,4.9,"Sweet,Nutty,Coffee"
1020,Pez,1534,"Sweet, Woody, Pine","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Pine,Sweet,Earthy"
1021,Phantom Arrow,1535,"Tree Fruit, Earthy, Flowery","Relaxed, Hungry, Euphoric, Happy, Focused","Pain, Stress, Fatigue, Headaches, Inflammation",indica,5.0,"Tree,Fruit,Menthol,Flowery"
1022,Phantom Cookies,1536,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.6,"Berry,Grape,Mango"
1023,Phishhead Kush,1538,"Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Insomnia, Cramps, Lack of Appetite, Headaches",indica,5.0,"Sweet,Berry"
1024,Pine Cone,1540,"Pine, Earthy, Woody","Euphoric, Happy, Creative, Energetic, Focused","Depression, Stress, Nausea, Fatigue, Inflammation",hybrid,4.5,"Pine,Earthy,Woody"
1025,Pine Tar Kush,1542,"Pine, Woody, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.5,"Pine,Woody,Earthy"
1026,Pineapple,1543,"Pineapple, Sweet, Tropical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.2,"Pineapple,Tropical,Sweet"
1027,Pineapple Chunk,1544,"Pineapple, Sweet, Skunk","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Muscle Spasms",hybrid,4.5,"Pineapple,Tropical,Skunk"
1028,Pineapple Cookies,1545,"Butter, Pineapple, Citrus","Relaxed, Euphoric, Happy, Energetic, Talkative","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.0,"Pineapple,Sweet,Flowery"
1029,Pineapple Diesel,1546,"Pungent, Pineapple, Diesel","Relaxed, Talkative, Uplifted, Tingly, Giggly","Pain, Stress, Lack of Appetite, Fatigue, Muscle Spasms",hybrid,4.4,"Diesel,Pungent,Pineapple"
1030,Pineapple Dog Shit,1547,"Pineapple, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.2,"Pineapple,Sweet,Earthy"
1031,Pineapple Express,1548,"Pineapple, Tropical, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Pineapple,Sweet,Tropical"
1032,Pineapple Fields,1549,"Sweet, Pineapple, Tropical","Relaxed, Happy, Creative, Uplifted","Depression, Pain, Stress, Cramps, Inflammation",sativa,4.3,"Sweet,Pineapple,Tropical"
1033,Pineapple Haze,1550,"Pineapple, Tropical, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.2,"Pineapple,Citrus,Tropical"
